PMID	DRUG	AE	LlamaTiFirst	LlamaAbFirst	pAuth_modelA	pAuth_modelB	aAuth	Title	Abstract
29631026	Soybean Oil	Fish Diseases	0	0	0	0		High level of dietary soybean oil depresses the growth and anti-oxidative capacity and induces inflammatory response in large yellow croaker Larimichthys crocea.	Increasing demand, uncertain availability and high price of fish oil with the expansion of aquaculture made it essential to search alternative lipid sources. Vegetable oil has been proved to be the best candidate for the replacement of fish oil in aquafeeds. However, this replacement especially in high level potentially has some negative effects on fish. The present study was conducted to investigate the growth performance, anti-oxidative and inflammatory responses of large yellow croaker to replacement of dietary fish oil by soybean oil. Three isonitrogenous (46% crude protein) and isolipidic (13% crude lipids) diets were formulated to feed fish (initial body weight: 36.80 +/- 0.39 g) for 12 weeks. The control diet was designed to contain 6.5% of fish oil, and named as FO. On the basis of the control diet, the fish oil was 50% and 100% replaced by soybean oil, and these two diets were named as FS and SO, respectively. Results showed that the specific growth rate significantly decreased in the SO group. Crude lipid contents in muscle and liver of fish fed SO diet were significantly higher than those in the FO group. The ratio of n-3 poly-unsaturated fatty acids (PUFAs) to identified fatty acids in liver decreased significantly, while n-6 PUFAs increased significantly with increasing dietary soybean oil inclusion. The levels of triacylglycerol, non-esterified fatty acid and tumour necrosis factor alpha, and the activity of aspartate aminotransferase in serum significantly increased in SO group. The total anti-oxidative capacity and expressions of the anti-oxidation-related genes (superoxide dismutase 1 and 2, catalase, glutathion peroxidase and nuclear factor erythroid 2-related factor 2) were significantly decreased by dietary soybean inclusion. Dietary soybean oil significantly decreased the gene expressions of the anti-inflammatory cytokines (arginase I and interleukin 10), and increased the pro-inflammatory cytokines (tumour necrosis factor alpha and interleukin 1beta). The replacement of dietary fish oil by soybean oil also induced an over-expression of toll-like receptor 22 and myeloid differentiation factor 88 in liver. In conclusion, dietary soybean oil could suppress growth performance and liver anti-oxidative capacity, and induce inflammatory responses of large yellow croaker.
29425544	Ranibizumab	Ischemia	0	1	0	0		Ranibizumab and digital ischemia.	Case report of a patient with age-related macular degeneration whose digital ischemia can most plausibly be attributed to ranibizumab. PURPOSE: To report ranibizumab as the probable cause of digital ischemia in a patient treated for age-related macular degeneration. METHODS: Single-patient case report. RESULTS: An 83-year-old woman with an unremarkable medical history suffered acute ischemia in her left hand with necrosis of the distal phalange of the fifth finger after six intravitreal injections of ranibizumab. Her etiological work-up was negative. Her condition improved after endovascular revascularization and remained good at six months' follow-up after three months of dual antithrombotic therapy (low molecular weight heparin then rivaroxaban, both with aspirin) followed by rivaroxaban alone and four courses of intravenous iloprost. CONCLUSION: The increased incidence of peripheral arterial thromboembolic events in patients under ranibizumab treatment is slight but significant, with 0.8-5% of patients affected, most of which suffer strokes. These events seem to occur at a random time after ranibizumab treatment is initiated and no reliable marker has yet been identified. The most probable cause of digital ischemia in our patient was ranibizumab.
29472424	Pentobarbital	Acidosis, Lactic	1	1	1	1	1.0	Pentobarbital-induced lactic acidosis following status epilepticus barbiturate coma.	We present a rare case of pentobarbital infusion causing propylene glycol-induced lactic acidosis, during refractory status epilepticus treatment in a 66-year-old man without seizure history.
28471252	Gold	Postoperative Complications	1	1	0	0	0.0	Type IV Hypersensitivity to Gold Weight Upper-Eyelid Implant: Case Report and Review of the Literature.	PURPOSE: Complications associated with gold-weight insertion for lagophthalmos are uncommon, recent reports have provided evidence to suggest that type IV hypersensitivity to gold can cause a persistent inflammatory reaction. METHODS: We present a case of a 46-year-old man who experienced persistent post-operative inflammation, and summarize previously documented cases. This patient underwent uncomplicated insertion of an upper eyelid gold weight for right-sided facial nerve palsy. He had no allergies or implanted metalwork. Post-operatively erythema was noted at seven-weeks and did not resolve. The weight was removed after six-months. RESULTS: The histopathological findings were in keeping with type IV hypersensitivity and similar to previous cases. CONCLUSIONS: Although infrequent, this complication has poor outcomes. The definitive management is removal of the weight. Information regarding implanted gold, and previous reactions should be elicited pre-operatively. Type IV hypersensitivity should be considered in patients with persistent inflammation that do not respond to antibiotic or steroid therapy.
29641494	Sodium Chloride	Prenatal Exposure Delayed Effects	1	1	0	0	0.0	Maternal Melatonin Therapy Attenuated Maternal High-Fructose Combined with Post-Weaning High-Salt Diets-Induced Hypertension in Adult Male Rat Offspring.	Consumption of food high in fructose and salt is associated with the epidemic of hypertension. Hypertension can originate from early life. Melatonin, a pleiotropic hormone, regulates blood pressure. We examined whether maternal melatonin therapy can prevent maternal high-fructose combined with post-weaning high-salt diet-induced programmed hypertension in adult offspring. Pregnant Sprague-Dawley rats received either a normal diet (ND) or a 60% fructose diet (HF) during pregnancy and the lactation period. Male offspring were on either the ND or a high-salt diet (HS, 1% NaCl) from weaning to 12 weeks of age and were assigned to five groups (n = 8/group): ND/ND, HF/ND, ND/HS, HF/HS, and HF/HS+melatonin. Melatonin (0.01% in drinking water) was administered during pregnancy and lactation. We observed that maternal HF combined with post-weaning HS diets induced hypertension in male adult offspring, which was attenuated by maternal melatonin therapy. The beneficial effects of maternal melatonin therapy on HF/HS-induced hypertension related to regulating several nutrient-sensing signals, including Sirt1, Sirt4, Prkaa2, Prkab2, Pparg, and Ppargc1a. Additionally, melatonin increased protein levels of mammalian targets of rapamycin (mTOR), decreased plasma asymmetric dimethylarginine (ADMA) and symmetric dimethylarginine levels, and increased the l-arginine-to-ADMA ratio. The reprogramming effects by which maternal melatonin therapy protects against hypertension of developmental origin awaits further elucidation.
29512790	Hydrogen Peroxide	Brain Injuries	0	0	0	0		Neuroprotective effects of N-acetyl cysteine on primary hippocampus neurons against hydrogen peroxide-induced injury are mediated via inhibition of mitogen-activated protein kinases signal transduction and antioxidative action.	N-acetyl cysteine (NAC) has been extensively reported to exert neuroprotective effects on the central nervous system. Oxidative stress may contribute to the underlying mechanisms causing Alzheimer's disease (AD). The effect of NAC against oxidative stress injury was investigated in a cellular model of AD in the present study and the underlying mechanisms were revealed. The neuroprotective action of NAC (1, 10, 100 and 1,000 micromol/l) on a cellular model of AD [hydrogen peroxide (H2O2)‑induced (3, 30 and 300 micromol/l) toxicity in primary rat hippocampus neurons] demonstrated the underlying mechanisms. Cytotoxicity was measured using the MTT assay, and light microscopy and the dichloro-dihydro-fluorescein diacetate method were used to detect the reactive oxygen species (ROS) levels. Furthermore, the levels of mitogen-activated protein kinases (MAPKs) signal transduction and tau protein phosphorylation were measured via western blotting. NAC (100 micromol/l) protected hippocampus neurons against H2O2‑mediated toxicity, as evidenced by enhanced cell viability. Using MTT assay and light microscopy for the observation of cell death, NAC ameliorated cell viability, which was induced by H2O2 injury (P<0.05). NAC was found to mitigate the excessive production of ROS (P<0.05). Another mechanism involved in the neuroprotective action of NAC may be its ability to inhibit MAPK signal transduction following H2O2 exposure. In addition, NAC may protect cells against H2O2‑induced toxicity by attenuating increased tau phosphorylation. Thus, the protective ability of NAC is hypothesized to result from inhibition of oxidative stress and downregulation of MAPK signal transduction and tau phosphorylation.
29507024	Rivaroxaban	Rupture, Spontaneous	1	1	0	0	0.0	Spontaneous splenic rupture due to rivaroxaban.	In the prevention and treatment of thromboembolic disease, novel oral anticoagulants have emerged as alternatives to warfarin. A major challenge continues to be the reversal of their anticoagulant effect in the case of life-threatening haemorrhagic complications. We report a case of spontaneous splenic rupture treated by splenic artery embolisation in a 77-year-old woman who was anticoagulated with rivaroxaban.
29488615	Isosorbide Dinitrate	Hypertension	0	0	0	0		High sucrose/fat diet and isosorbide mononitrate increase insulin resistance, nitric oxide production and myocardial apoptosis in a hypertensive rat model.	The present study aimed to investigate the association between insulin resistance (IR), nitric oxide (NO) production and myocardial apoptosis in a background of coexisting hypertension in a rodent animal model. A hypertensive rat model was established by feeding Wistar and spontaneously hypertensive rats (SHR) with a high sucrose/fat (HSF) diet for 12 weeks, in conjunction with isosorbide mononitrate (ISMN). Increased IR, NO content, apoptotic gene and protein expression, and morphological alterations within rat myocardium were evaluated. Following a total of 12 weeks of feeding with HSF and ISMN resulted in increased IR and NO content within the myocardial tissue of Wistar and SHR rats. HSF and ISMN activated myocardial apoptosis by downregulating the gene transcription and protein expression levels of the anti‑apoptotic B‑cell lymphoma 2 (Bcl‑2), and increasing the pro‑apoptotic Bcl‑2 associated X protein. Apoptosis was demonstrated by DNA fragmentation in terminal deoxynucleotidyl‑transferase‑mediated dUTP nick end labelling assay. In all experiments, the combination of HSF and ISMN was associated with more pronounced effects, indicating the possible synergistic effects. In addition, the correlation analysis in the Wistar rats fed with HSF only, revealed a positive association between NO production and IR. The results of the present study indicated that HSF and ISMN simultaneously increased IR, NO production and myocardial apoptosis in the hypertensive rat model, and may therefore contribute to investigations into the long‑term clinical use of ISMN in hypertensive patients.
27543192	Imatinib Mesylate	Melanosis	0	0	0	0		Horizontal melanonychia.	
29409941	Infliximab	Vasculitis, Leukocytoclastic, Cutaneous	1	0	0	0		An Unusual Cause of Skin Rash in Crohn's Disease.	
29171003	Diazepam	Drug Resistant Epilepsy	1	0	0	0		Inhibition of monoacylglycerol lipase terminates diazepam-resistant status epilepticus in mice and its effects are potentiated by a ketogenic diet.	OBJECTIVE: Status epilepticus (SE) is a life-threatening and commonly drug-refractory condition. Novel therapies are needed to rapidly terminate seizures to prevent mortality and morbidity. Monoacylglycerol lipase (MAGL) is the key enzyme responsible for the hydrolysis of the endocannabinoid 2-arachidonoylglycerol (2-AG) and a major contributor to the brain pool of arachidonic acid (AA). Inhibiting of monoacylglycerol lipase modulates synaptic activity and neuroinflammation, 2 mediators of excessive neuronal activation underlying seizures. We studied the effect of a potent and selective irreversible MAGL inhibitor, CPD-4645, on SE that was refractory to diazepam, its neuropathologic sequelae, and the mechanism underlying the drug's effects. METHODS: Diazepam-resistant SE was induced in adult mice fed with standard or ketogenic diet or in cannabinoid receptor type 1 (CB1) receptor knock-out mice. CPD-4645 (10 mg/kg, subcutaneously) or vehicle was dosed 1 and 7 h after status epilepticus onset in video-electroencephalography (EEG) recorded mice. At the end of SE, mice were examined in the novel object recognition test followed by neuronal cellloss analysis. RESULTS: CPD-4645 maximal plasma and brain concentrations were attained 0.5 h postinjection (half-life = 3.7 h) and elevated brain 2-AG levels by approximately 4-fold. CPD-4645 administered to standard diet-fed mice progressively reduced spike frequency during 3 h postinjection, thereby shortening SE duration by 47%. The drug immediately abrogated SE in ketogenic diet-fed mice. CPD-4645 rescued neuronal cell loss and cognitive deficit and reduced interleukin (IL)-1beta and cyclooxygenase 2 (COX-2) brain expression resulting from SE. The CPD-4645 effect on SE was similar in mice lacking CB1 receptors. SIGNIFICANCE: MAGL represents a novel therapeutic target for treating status epilepticus and improving its sequelae. CPD-4645 therapeutic effects appear to be predominantly mediated by modulation of neuroinflammation.
29120005	Nitrous Oxide	Gait Disorders, Neurologic	1	1	0	0	0.0	Peripheral Neuropathy Due to Recreational Use of Nitrous Oxide Presenting After an Ankle Sprain With Foot Drop.	A 22-year-old man was referred for orthopedic follow-up after an ankle injury. Initial evaluation in urgent care included radiographs with negative findings. After a delayed presentation, a course of functional treatment was recommended. Subsequently, he developed a deep venous thrombosis and pulmonary emboli. He was found to be factor V Leiden deficient and was fully anticoagulated on warfarin. Later reevaluation revealed a steppage gait and foot drop. Electrodiagnostic studies (ie, electromyography and nerve conduction studies) revealed a severe peripheral polyneuropathy. The patient admitted to engaging in high-volume recreational use of nitrous oxide. Neurological evaluation confirmed vitamin B12 deficiency consistent with the toxic effects of nitrous oxide. The patient's condition improved with vitamin B supplementation, bracing, and avoidance of nitrous oxide and similar neurotoxins. He participated in a 3-month physical rehabilitation program, and he displayed partial recovery at most recent follow-up. [Orthopedics. 2018; 41(3):e432-e433.].
29039158	Rifampin	Intraoperative Complications	1	0	0	0		Total spinal block, bupivacaine toxicity or else under epidural anaesthesia?	
27319962	Methotrexate	Nasal Septal Perforation	1	1	0	0	0.0	Methotrexate-Induced Nasal Septal Perforation.	A 58-year-old woman with a 31-year history of Hailey-Hailey (HH) disease that was refractory to treatment with mycophenolate mofetil, cyclosporine, dapsone, sulfasalazine, topical/oral antibiotics, and topical/oral steroids presented for alternative treatment options. Active erythematous, malodorous, eroded, and crusted plaques were present in the axillae, inframammary region, groin, and back (Figure 1). The patient had an undulant course, with acute exacerbations and partial remissions. During a 3-year period, she was prescribed oral methotrexate at a dose of 10 mg to 15 mg per week with daily oral folic acid (1 mg) supplementation, except on the day she took methotrexate. Oral clarithromycin and prednisone were also used intermittently for antibacterial and anti-inflammatory effects.
30148931	Bupropion	Coma	1	1	0	0	0.0	[Sustained upgaze in a patient who ingested high doses of bupropion. Report of one case].	Upgaze or sustained elevation of the eyes, is an alteration of ocular motility initially described in hypoxic coma. We report a 65-year-old woman admitted with hypotension and alteration of sensorium due to the ingestion of 9.5 g of Bupropion. She presented two seizures of short duration, without epileptic activity on the EEG. She had a persistent asynchronous myoclonus in extremities, tachycardia and prolonged Q-t. She suffered a cardiac arrest caused by asystole, which recovered quickly in five minutes. At that moment, upgaze appeared, associated with a persistent ocular opening, which persisted for days, but finally disappeared, without remission of coma. A magnetic resonance imaging done at the eighth day, showed hyperintensity of the oval center and corpus callosum which disappeared in a new imaging study done 30 days later, where images of hypoxia in the basal nuclei and cortex appeared. The patient died forty seven days after admission. Up-gaze is an ominous oculomotor alteration linked to an important but incomplete damage in the cerebral cortex, a condition that perverts some sequences of the ocular opening, reversing the Bell phenomenon and producing eyelid retraction.
29615102	Nifedipine	Jaundice	1	1	1	1	1.0	A case report of nifedipine-induced hepatitis with jaundice.	BACKGROUND: Nifedipine is a generic, well-known and commonly-prescribed dihydropyridine calcium channel blocker used in the treatment of hypertension and Prinzmetal's angina. A known but very rare and serious adverse effect of nifedipine is clinically-apparent hepatitis which can take months to resolve. CASE PRESENTATION: Here we present a case of nifedipine-induced hepatitis in a 78-year-old Caucasian female with no prior history of liver or autoimmune disease. We discuss our investigative and management approach, and present a review of prior cases. We offer an approach for patients who present with signs of acute liver injury with jaundice and high elevations in serum transaminases. CONCLUSION: Not much is known about nifedipine-induced hepatitis due to its rare occurrence. Its prevalence is unknown. The disease appears to afflict older men and women. It can present acutely (within days) or subacutely (within 4-8 weeks after medication start) and in an idiosyncratic manner. Chronic or latent cases have also been described, some diagnosed as late as 3 years after medication start. Common symptoms include jaundice, nausea, chills, rigors, diaphoresis, fatigue, and abdominal pain. Laboratory investigations often reveal profound elevations in AST, ALT, GGT, and conjugated bilirubin. Peripheral blood smear may demonstrate eosinophilia. Histology from liver biopsy typically demonstrates infiltration of immune cells, cholestasis, and a picture of steatohepatitis. Treatment involves immediate discontinuation of the drug with supportive care. Thus far, all published instances of nifedipine-induced hepatitis were self-limiting without mortality due to fulminant liver failure. However, this disease can take months to resolve. There is no randomized evidence for other treatments such as corticosteroids.
29565276	Niacin	Glaucoma, Open-Angle	1	0	0	0		Dietary Niacin and Open-Angle Glaucoma: The Korean National Health and Nutrition Examination Survey.	Glaucoma is a leading cause of loss of sight. High intraocular pressure (IOP) is the most critical risk factor. However, glaucoma develops even within a normal IOP range. Normal tension glaucoma (NTG) is more common in Asia, whereas high tension glaucoma is more common in Western countries. The pathogenesis of glaucoma, especially NTG, is poorly understood. We evaluated the correlation between dietary nutrient intake and glaucoma using data from subjects >/=40 years old from the ongoing, nationwide, population-based study, the Korean National Health and Nutrition Examination Survey V (2008-2012). Dietary intake was determined using the 24 h recall method. Fiber (g/day), ash (g/day), calcium (mg/day), phosphorus (mg/day), iron (mg/day), sodium (mg/day), potassium (mg/day), beta-Carotene (mug/day), retinol (mug/day), vitamin A (mug Retinol Equivalents/day), thiamine (mg/day), riboflavin (mg/day), niacin (mg/day), and vitamin C (mg/day) were included in nutrient intake data. All nutrient intake was divided into quartiles. The mean IOP did not differ according to quartiles from any nutrients (all p > 0.05). After adjusting for age, gender, income status, education level, smoking, alcohol consumption, physical activity, diabetes, hypertension, IOP, and total energy, the intake of niacin was associated with glaucoma (p = 0.013). Among subjects with IOP </= 21 mmHg, only niacin was related to glaucoma in a multivariate analysis (p = 0.022). Dietary nutrient intake was associated with open-angle glaucoma independent of IOP. Individuals with NTG showed lower intake of niacin among nutrients. This finding suggests the possibility that proper diet counseling may be another modifiable factor, aside from IOP, particularly among patients with NTG.
29348123	Rivaroxaban	Exanthema	1	1	0	0	0.0	Rash associated with rivaroxaban use.	PURPOSE: A case of a patient who developed a hypersensitivity reaction to rivaroxaban in the form of a diffuse, exanthematous rash is reported. SUMMARY: After starting rivaroxaban for treatment of cancer-associated deep vein thrombosis (DVT) with pulmonary embolism (PE), a 69-year-old Caucasian woman arrived at an oncology clinic with a diffuse, exanthematous (morbilliform) rash on her neck and torso, spreading to her upper and lower extremities. She reported that the symptoms started to develop about 48 hours after transitioning from subcutaneous enoxaparin to oral rivaroxaban. The patient's symptoms did not subside with diphenhydramine 25-50 mg orally every 6-8 hours. The patient was switched back to enoxaparin therapy for continued anticoagulation therapy. On day 5, rivaroxaban and diphenhydramine were discontinued. Oral dexamethasone 4 mg twice daily was initiated, and the patient transitioned from rivaroxaban to enoxaparin 1 mg/kg every 12 hours subcutaneously. On day 8, the rash had diminished considerably and was present only on her thighs. Analysis of the case using the adverse drug reaction probability scale of Naranjo et al. indicated that rivaroxaban was the probable cause of the hypersensitivity reaction. Four prior case reports of rivaroxaban hypersensitivity manifesting as a rash have been previously reported, with this being the first in a female and the first in a patient undergoing treatment of DVT and PE in the setting of active cancer. CONCLUSION: A 69-year-old Caucasian woman developed a diffuse, exanthematous rash on day 3 of rivaroxaban treatment. Symptoms abated after rivaroxaban discontinuation and treatment with dexamethasone.
