PMID	MHDA	DRUG	AE	PT	LlamaTiFirst	LlamaAbFirst	pAuth_modelA	pAuth_modelB	aAuth	Title	Abstract
30591018	2019/2/5	Piribedil	Bradycardia	Case Reports_and_Journal Article_and_Review	1	1	1	1	2	Hypotension and bradycardia, a serious adverse effect of piribedil, a case report and literature review.	BACKGROUND: Dopamine agonists (DAs) are efficacious for the treatment of motor and nonmotor symptoms in patients with Parkinson's disease (PD). The treatment of PD with DAs is often complicated by adverse drug reactions (ADRs) of dopaminergic and non-dopaminergic origins. The DA piribedil is widely used in Asian, European, and Latin American countries; therefore, its ADRs are pertinent to clinicians. Here we present a rare case of hypotension and bradycardia that is significantly related to the dosage of piribedil. CASE PRESENTATION: A middle-aged male, diagnosed with PD, received dopamine replacement with piribedil. When taking 50 mg piribedil daily dose, the patient didn't feel any discomfort. Two hours after taking 100 mg piribedil he presented with serious concomitant hypotension and bradycardia with a blood pressure (BP) reading of 85/48 mmHg and a heart rate (HR) of 45 beats/min when sitting. After taking 75 mg piribedil, the patient showed the same symptoms with BP reading at 70/45 mmHg and HR of 47 beats/min in the same position. Upon replacing treatment with pramipexole 0.125 mg, 0.25 mg, and 0.375 mg three times a day, no further cardiovascular effects persisted. CONCLUSIONS: No studies have previously reported the simultaneous observation of position-unrelated hypotension and bradycardia after taking small doses of piribedil. More studies are needed to explore the effects of DAs on BP and HR, especially piribedil. Piribedil is efficacious for the treatment of PD, but it is important to weigh the potential risk of hypotension and bradycardia against the clinical benefits of this drug.
27766826	2018/10/5	Minocycline	Sick Sinus Syndrome	Case Reports_and_Journal Article	1	0	0	1	1	Sinus Node Dysfunction: A Rare Side Effect of Tigecyclin.	
29442094	2018/9/28	Triamcinolone Acetonide	Central Serous Chorioretinopathy	Case Reports_and_Journal Article	1	1	0	0	0	A potential side effect of oral topical steroids: Central serous chorioretinopathy.	Topical corticosteroids are some of the most common drugs used in oral medicine for treating atrophic and erosive lesions that affect the mucosa. Adverse effects of these drugs include oral candidiasis with associated burning mouth and hypogeusia, hypersensitive reactions to the drug, and inhibition of the hypothalamic-pituitary-adrenal axis and secondary adrenal insufficiency. The ocular side effects of oral topical steroids are less documented. This short communication describes a case of central serous retinopathy that developed following administration of oral topical steroid.
29964335	2019/6/18	Indigo Carmine	Enterocolitis	Case Reports_and_Letter	1	0	0	0	0	Indigo naturalis-induced colitis.	
30836786	2019/8/10	Cytarabine	Dermatitis, Exfoliative	Case Reports_and_Journal Article	1	0	0	0	0	ARA-C RELATED RED EAR SYNDROME.	
29913138	2019/6/7	Potassium Citrate	Fatigue	Journal Article_and_Multicenter Study	0	0	0	0	0	The Effect of Thiazide and Potassium Citrate Use on the Health Related Quality of Life of Patients with Urolithiasis.	PURPOSE: To our knowledge it is unknown whether the benefits of medical management of urolithiasis outweigh the potential side effects of the medications used, including potassium citrate and thiazide diuretics. Therefore, we evaluated the relationship between potassium citrate or thiazides and overall stone related health related quality of life. MATERIALS AND METHODS: Cross-sectional data were obtained on stone forming enrollees in the North American Stone Quality of Life Consortium. We used the WISQOL (Wisconsin Stone Quality of Life) questionnaire to compare health related quality of life between patients treated and not treated with potassium citrate or thiazide type diuretics. Additionally, the likelihood of gastrointestinal complaints was compared between those prescribed and not prescribed potassium citrate. The likelihood of fatigue and sexual complaints was also compared in those prescribed and not prescribed thiazides. RESULTS: Of the 1,511 subjects, including 787 males and 724 females, 279 were on potassium citrate and 238 were on thiazides at study enrollment. Patients prescribed potassium citrate had higher health related quality of life in each domain vs those not prescribed potassium citrate (p <0.001). Patients prescribed thiazides had higher health related quality of life in each domain compared to those not prescribed thiazide (all p <0.01). Those prescribed potassium citrate were less likely than those not prescribed potassium citrate to report nausea, stomach upset or cramps (OR 0.57, p <0.001). Patients prescribed thiazides were less likely than those not prescribed thiazides to report fatigue (OR 0.63, p = 0.004) or reduced sexual interest and/or activity (OR 0.64, p = 0.005). CONCLUSIONS: Among stone formers the use of potassium citrate and thiazides was associated with better health related quality of life across all WISQOL domains without an increased likelihood of gastrointestinal complaints and fatigue or sexual complaints, respectively. These findings may be useful when counseling patients regarding the initiation of potassium citrate or thiazides for medical management of nephrolithiasis.
29913138	2019/6/7	Potassium Citrate	Sexual Dysfunction, Physiological	Journal Article_and_Multicenter Study	0	0	0	0	0	The Effect of Thiazide and Potassium Citrate Use on the Health Related Quality of Life of Patients with Urolithiasis.	PURPOSE: To our knowledge it is unknown whether the benefits of medical management of urolithiasis outweigh the potential side effects of the medications used, including potassium citrate and thiazide diuretics. Therefore, we evaluated the relationship between potassium citrate or thiazides and overall stone related health related quality of life. MATERIALS AND METHODS: Cross-sectional data were obtained on stone forming enrollees in the North American Stone Quality of Life Consortium. We used the WISQOL (Wisconsin Stone Quality of Life) questionnaire to compare health related quality of life between patients treated and not treated with potassium citrate or thiazide type diuretics. Additionally, the likelihood of gastrointestinal complaints was compared between those prescribed and not prescribed potassium citrate. The likelihood of fatigue and sexual complaints was also compared in those prescribed and not prescribed thiazides. RESULTS: Of the 1,511 subjects, including 787 males and 724 females, 279 were on potassium citrate and 238 were on thiazides at study enrollment. Patients prescribed potassium citrate had higher health related quality of life in each domain vs those not prescribed potassium citrate (p <0.001). Patients prescribed thiazides had higher health related quality of life in each domain compared to those not prescribed thiazide (all p <0.01). Those prescribed potassium citrate were less likely than those not prescribed potassium citrate to report nausea, stomach upset or cramps (OR 0.57, p <0.001). Patients prescribed thiazides were less likely than those not prescribed thiazides to report fatigue (OR 0.63, p = 0.004) or reduced sexual interest and/or activity (OR 0.64, p = 0.005). CONCLUSIONS: Among stone formers the use of potassium citrate and thiazides was associated with better health related quality of life across all WISQOL domains without an increased likelihood of gastrointestinal complaints and fatigue or sexual complaints, respectively. These findings may be useful when counseling patients regarding the initiation of potassium citrate or thiazides for medical management of nephrolithiasis.
27467827	2018/9/27	Fluoxetine	Purpura, Schoenlein-Henoch	Case Reports_and_Letter	1	0	0	0	0	Henoch-Schonlein Purpura During Treatment with Fluoxetine.	
29087803	2018/10/6	Everolimus	Ovarian Cysts	Controlled Clinical Trial_and_Journal Article	1	1	0	0	0	High Incidence of Ovarian Cysts in Women Receiving mTOR Inhibitors After Renal Transplantation.	OBJECTIVE: Ovarian cysts are a common finding in reproductive-aged females. Most of them are functional cysts that typically resolve spontaneously and require no treatment. However, ovarian cysts may also be adverse events associated with inhibitors of the mammalian target of rapamycin (mTOR). Both approved mTOR inhibitors everolimus and sirolimus are widely used as immunosuppressive agents after organ transplantation. The aim of this study was to compare the effect of mTOR inhibitors vs. non-mTOR inhibitor immunosuppression on the incidence, size and complication rate of ovarian cysts in renal transplant recipients. MATERIAL AND METHODS: We retrospectively analysed 571 consecutive female kidney transplant patients in our centre between 2000 and 2008. The follow-up period was extended through December 31st, 2012. RESULTS: 102 (17.8%) patients received mTOR inhibitors for at least one month after transplantation. We identified 44 women (7.7%) with new ovarian cysts. Ovarian cysts were significantly more frequent among patients receiving mTOR inhibitors (20.5%) than in the control group (4.9%; p < 0.001). Also the hospitalization rate was higher (p = 0.05) in the mTOR group and ten patients (47.6%) requiring surgery. CONCLUSION: Future prospective studies are required to determine the underlying cause of ovarian toxicity and treatment strategies have to be developed in order to avoid severe complications.
30326844	2018/12/12	Sofosbuvir	Ventricular Dysfunction, Left	Journal Article	0	1	0	0	0	Evaluation of cardiac function by global longitudinal strain before and after treatment with sofosbuvir-based regimens in HCV infected patients.	BACKGROUND: Possible cardiotoxicity of sofosbuvir in humans has not been demonstrated yet. Also, since HCV can exert deleterious effects on hearth function, it is of interest to know whether HCV eradication provides any benefits using global longitudinal strain (GLS), a measure of left ventricular function more reliable than ejection fraction (EF). METHODS: Patients eligible for treatment with the combination therapy for HCV were invited to perform a transthoracic cardiac ultrasound at four different time points: before starting treatment, after one month, at the end of treatment and, after six month. Left ventricular function was measured with both EF and GLS. RESULTS: From March 2015 to December 2016, 82 patients were enrolled. Fifty-six percent patients were males. Mean age was 66.12 (SD: 9.25) years. About 20% patients did not present any cardiovascular risk factors or comorbidities. A worsening trend of GLS was observed. Variations were not found to be statistically significant when EF was studied along the follow-up. However, when GLS was studied, its variations were found to be statistically significant indicating a worsening effect, albeit with different trends in patients who underwent treatment for three months compared to six months. Worsening of GLS was found to be statistically significant even after adjusting for body mass index and liver fibrosis, independently from treatment duration. CONCLUSIONS: Our results showed unexpected worsening of left ventricular function when measured through GLS after HCV treatment response induced by DAAs including sofosbuvir. Although this result is not proven to be clinically significant, the safety profile of sofosbuvir-based regimens needs to be studied further.
29349949	2019/3/1	Rivaroxaban	Spinal Injuries	Case Reports	1	0	0	0	0	Acute Spinal Subdural Hematoma in a Patient Taking Rivaroxaban.	
29878339	2019/7/2	Linoleic Acids, Conjugated	Migraine with Aura	Case Reports_and_Letter	1	0	0	0	0	A Case of Complete Scotoma Following Intake of Conjugated Linoleic Acid Supplement.	
29878339	2019/7/2	Linoleic Acids, Conjugated	Scotoma	Case Reports_and_Letter	1	0	0	0	0	A Case of Complete Scotoma Following Intake of Conjugated Linoleic Acid Supplement.	
30384197	2019/4/17	Alemtuzumab	Lambert-Eaton Myasthenic Syndrome	Journal Article	1	1	1	1	2	Lambert-Eaton myasthenic syndrome associated with alemtuzumab administration.	BACKGROUND: Alemtuzumab administration is known to cause secondary autoimmune disease but has not been associated with the development of neurologic autoimmune conditions. Lambert-Eaton myasthenic syndrome (LEMS) is caused by autoantibodies directed against calcium channels on the neuromuscular junction. CASE REPORT: We report a case of a patient with relapsing-remitting multiple sclerosis (RRMS) treated with alemtuzumab who develop generalized weakness initially attributed to progression of MS but eventually determined to be due to LEMS. CONCLUSION: Alemtuzumab treatment can result in the development of neurologic autoimmune conditions that could mimic MS progression.
30543944	2019/3/21	Sulfur Dioxide	Dry Eye Syndromes	Journal Article	0	0	0	0	0	Impacts of air pollution on dry eye disease among residents in Hangzhou, China: A case-crossover study.	The purpose of this study is to investigate the potential associations between air pollution and dry eye disease (DED). Data of outdoor air pollutants and meteorology as well as outpatient visits for DED were collected. A time-stratified case-crossover approach was used to analyze the associations between ambient air pollutants and outpatient visits for DED. Among the 5062 DED patients studied, 65.45% were female and 34.55% were male. In the single-pollutant model, significant associations were observed between an increase of 10 mug/m(3) in the concentrations of fine-particulate matter with a median aerometric diameter of less than 10 mum (PM(10)), fine-particulate matter with a median aerometric diameter of less than 2.5 mum (PM(2.5)), sulfur dioxide (SO(2)), nitrogen dioxide (NO(2)), and carbon monoxide (CO) and outpatient visits for DED. These results were consistent with those of the multipollutant model. The strongest associations between air pollutants and patient visits were observed during the cold season and in patients aged 21-40. The significant association between air pollutants (PM(10), PM(2.5), SO(2), NO(2), and CO) and DED outpatient visits indicates the importance of increased environmental protection.
28407883	2018/9/15	Hydrochlorothiazide	Chondrocalcinosis	Case Reports_and_Journal Article	0	0	0	0	0	The Case | Hypomagnesemia with knee pain.	
28833867	2019/3/12	Trastuzumab	Cerebral Hemorrhage	Journal Article	1	1	0	0	0	Development and responses of brain metastases during treatment with trastuzumab emtansine (T-DM1) for HER2 positive advanced breast cancer: A single institution experience.	Ado-trastuzumab emtansine (T-DM1) is an antibody-drug conjugate that does not cross an intact blood-brain barrier. In the EMILIA trial of T-DM1 vs capecitabine/lapatinib for HER2 positive advanced breast cancer, all patients had baseline brain imaging, and 9/450 (2%) of patients with negative baseline imaging developed new brain disease during T-DM1. We assessed the frequency of brain progression in clinical practice, without routine baseline imaging. We undertook a retrospective study of all patients treated with T-DM1 at the Royal Marsden Hospital from 2011 to 2016. Data collected included baseline characteristics, previous treatment for advanced breast cancer, sites of metastatic disease, duration of T-DM1, sites of progression, and treatment of CNS progression. Fifty-five patients were identified who had received a median of two prior lines of treatment (range 0-5). All were HER2 positive; 45 patients had IHC 3+ tumors and 10 were ISH positive. Patients received a median of 12 cycles of T-DM1 (range 1-34), and six remain on treatment at the time of analysis. Before commencing T-DM1, 16/55 (29%) had known brain metastases (treated with whole brain [9] stereotactic radiotherapy [6] or both [1]). Brain was the first site of progression in 56% (9/16) patients, with a median time to brain progression of 9.9 months (95% CI 3.9-12.2). In patients without known baseline brain metastases, 17.9% (7/39) developed new symptomatic brain disease during T-DM1, after a median of 7.5 months (95%CI 3.8-9.6). Brain progression was isolated, with control of extra-cranial disease in 4/7 patients. Only one patient was suitable for stereotactic radiotherapy. Median time to extra-cranial progression in all patients was 11.5 months (95% CI 9.1-17.7), and median OS in all patients was 17.8 months (95% CI 14.2-22). In patients not screened for brain metastases at baseline, the brain was the first site of progression in a significant proportion. Baseline brain imaging may have a role in standard practice for patients commencing T-DM1 therapy.
30947406	2019/6/21	Lurasidone Hydrochloride	Exanthema	Case Reports_and_Journal Article	1	0	0	0	0	Exanthematous Rash With Lurasidone in an Elderly Woman With Schizoaffective Disorder.	
28602446	2019/2/23	Buspirone	Stiff-Person Syndrome	Case Reports_and_Journal Article	1	0	0	0	0	Stiff Person Syndrome Presenting After the Initiation of Buspirone.	
30734423	2019/5/11	Ritodrine	Tachycardia, Ventricular	Case Reports_and_Journal Article	1	0	0	0	0	Neonatal ventricular tachycardia: Adverse event possibly due to maternal ritodrine.	
28743767	2018/10/23	Nitrous Oxide	Pneumorrhachis	Case Reports_and_Journal Article	1	0	0	0	0	Pneumomediastinum and pneumorrhachis from recreational nitrous oxide inhalation: no laughing matter.	
29438046	2019/7/25	Natalizumab	Premature Birth	Journal Article_and_Multicenter Study	1	1	0	0	0	Pregnancy decision-making in women with multiple sclerosis treated with natalizumab: I: Fetal risks.	OBJECTIVE: To assess fetal risk after pregnancy exposure to natalizumab in women with multiple sclerosis (MS), with a specific focus on spontaneous abortion (SA) and congenital anomalies (CA). METHODS: Data of all pregnancies occurring between 2009 and 2015 in patients with MS treated with natalizumab and referring to 19 participating sites were collected and compared with those of pregnancies in untreated patients and patients treated with injectable immunomodulatory agents. Rates of SA and CA were also compared with those reported in the Italian population. Multivariable logistic and linear regression models were performed. RESULTS: A total of 92 pregnancies were tracked in 83 women. In the multivariable analysis, natalizumab exposure was associated with SA (odds ratio [OR] 3.9, 95% confidence interval [CI] 1.9-8.5, p < 0.001). However, the rate of SA (17.4%) was within the estimates for the general population, as well as the rate of major CA (3.7%). Moreover, exposure to natalizumab and interferon-beta (IFN-beta) was associated with lower length and weight of the babies (p < 0.001). CONCLUSION: Our results showed that natalizumab exposure to up 12 weeks of gestation is associated with an increased risk of SA, although within the limits expected in the general population, whereas the risk of CA needs further investigation. Taking into account the high risk of disease reactivation after natalizumab suspension, pregnancy could be planned continuing natalizumab while strictly monitoring conception. CLASSIFICATION OF EVIDENCE: This study provides Class III evidence that in women with MS, natalizumab exposure increases the risk of spontaneous abortion as compared to IFN-beta-exposed or untreated patients (OR 3.9, 95% CI 1.9-8.5).
28301410	2019/6/25	Ranibizumab	Dyspnea	Case Reports_and_Journal Article	1	1	0	0	0	ALLERGIC REACTION UPON INTRAVITREAL ADMINISTRATION OF ANTI-VASCULAR ENDOTHELIAL GROWTH FACTOR AGENTS.	PURPOSE: To describe the patient's allergic response to anti-vascular endothelial growth factor drugs after receiving intravitreal bevacizumab for choroidal neovascularization. METHODS: Clinical case report. RESULTS: Formal allergy evaluation revealed hypersensitivity to bevacizumab and ranibizumab, but not to pegaptanib or aflibercept. CONCLUSION: Bevacizumab and ranibizumab are derivatives of murine monoclonal antibodies, whereas pegaptanib is an aptamer and aflibercept is a fusion protein of human origin. These chemical origins may allow patients to receive pegaptanib or aflibercept despite having allergy to bevacizumab or ranibizumab.
30275683	2018/12/26	Hydroxyethyl Starch Derivatives	Ureteral Obstruction	Journal Article	0	0	0	0	0	Effects of hydroxyethyl starch 130/0.4 on the kidney tissue of rats with ureteral obstruction.	OBJECTIVE: This study was conducted since the effects of colloid solutions on the renal system remain controversial and need to be adequately studied in animals. We aimed to evaluate the effects of hydroxyethyl starch (Voluven) on the kidney tissue of rats with late renal failure due to ureteral obstruction. MATERIALS AND METHODS: Rats were divided into four groups: Group C, control; Group HES, hydroxyethyl starch solution (HES) 130/0.4 (Voluven((R))); Group UUO, unilateral ureteral obstruction (UUO); and Group UUO-HES, UUO-HES 130/0.4 (Voluven((R))). In the groups with ureteral obstruction, the distal part of the right ureter was accessed and sutured through a lower abdominal incision under ketamine anesthesia. Any signs of late-stage renal failure were evaluated after three weeks. Rats in the HES group and the renal failure-HES group were administered with HES 130/0.4 as a single intravenous dose of 20 mL/kg. After a follow-up of 24 hours, intra-abdominal blood sample was collected, and the rats were sacrificed. Biochemical and histopathological parameters were then evaluated. RESULTS: Ureteral obstruction significantly increased urea and creatinine levels. In addition, when the UUO-HES and HES groups were compared, the administration of HES increased urea and creatinine levels in the UUO-HES group. Nitric oxide enzyme activity and malondialdehyde levels have significantly increased in the UUO groups. In addition, HES significantly increased nitric oxide activity and malondialdehyde levels in the UUO-HES group, in comparison with the HES group. The activity of caspases 3 and 8 was significantly increased in the UUO groups. In addition, HES significantly increased the activity of caspases 3 and 8 in the UUO-HES group, in comparison with the HES group. Light microscopy revealed significant changes in the UUO groups, especially in the obstructed kidneys. CONCLUSION: If indicated, HES should be used with caution in cases of UUO, but not in the cases of bilateral ureteral obstruction. Other aspects of these findings, including the clinical significance and practical applications, merit further experimental and clinical investigation.
30412900	2019/7/23	Cefepime	Opsoclonus-Myoclonus Syndrome	Case Reports_and_Letter_and_Video-Audio Medi	1	0	0	0	0	Opsoclonus-myoclonus-encephalopathy induced by cefepime.	
30152807	2019/6/14	Cisplatin	Edema, Cardiac	Journal Article	0	1	0	0	0	The effect of rutin on cisplatin-induced oxidative cardiac damage in rats.	OBJECTIVE: Cisplatin is an anticancer drug used for treating childhood solid tumors. Symptoms related to cisplatin-induced cardiovascular adverse effects may be mild or severe. Rutin (vitamin P1) has many properties, including as antioxidant, anticancer, antidiabetic, antimicrobial, antiulcer, and tissue renewal properties. Therefore, we aimed to biochemically, histopathologically, and immunohistochemically demonstrate the effect of rutin on cisplatin-induced cardiotoxicity in rats. METHODS: The rats included in our study were divided into four groups: Healthy group (HE), 5-mg/kg cisplatin group (CP), 50 mg/kg rutin+5-mg/kg cisplatin (CR-50), 100-mg/kg rutin+5-mg/kg cisplatin (CR-100) group. RESULTS: CP group administered cisplatin had significantly increased blood, serum, and cardiac tissue malondialdehyde (MDA), interleukin 1 beta (IL-1ss), tumor necrosis factor alpha (TNF-alpha), troponin I, creatine kinase (CK), and CK-MB levels compared to the HE group, whereas there was a significant decrease in the total glutathione (tGSH) levels. Rutin was observed to prevent the increase in MDA, IL-1ss, TNF-alpha, troponin I, CK, and CK-MB levels as well as prevent the decrease in tGSH levels more significantly when administered at a 100-mg/kg dose than at a 50-mg/kg dose. Histopathologically, cardiac necrosis, dilated/congested blood vessels, hemorrhage, polymorphonuclear leukocyte, edema, and cells with pyknotic nuclei were observed in the CP group. Rutin was shown to prevent cisplatin-induced cardiac damage more effectively when used at a100-mg/kg dose than at a 50-mg/kg dose. CONCLUSION: These results suggest that rutin is useful for preventing cisplatin-related cardiovascular damage.
27340908	2019/2/20	Quetiapine Fumarate	Purpura, Thrombotic Thrombocytopenic	Case Reports_and_Letter_and_Review	1	0	0	0	0	Quetiapine Associated Thrombotic Thrombocytopenic Purpura: A Case Report and Literature Review.	
29155440	2018/12/12	Lenalidomide	Hypoglycemia	Case Reports_and_Journal Article	1	1	1	1	1	Severe Hypoglycemia Caused by Lenalidomide.	Lenalidomide is commonly used for multiple myeloma as either induction or maintenance therapy. The agent is associated with a host of adverse effects, but hypoglycemia has only been reported in one phase I trial in patients with solid tumors. We describe a 74-year-old woman who experienced grade 3 hypoglycemia (blood glucose level 35 mg/dl) likely related to lenalidomide. Her medical history was significant for refractory myeloma and type 2 diabetes mellitus. Lenalidomide was started as maintenance therapy following autologous bone marrow transplantation. Approximately 3 years later, she developed refractory hypoglycemia necessitating hospital admission despite stopping antihyperglycemic agents 4 weeks prior to admission. Lenalidomide was withheld during her admission and restarted 2 days prior to discharge. Work-up for causes of persistent hypoglycemia was negative, and her glucose levels improved over her 26-day hospitalization. She was readmitted approximately one month later for hypoglycemia, and lenalidomide was permanently discontinued. Again, work-up for causes of hypoglycemia was negative, and her glucose levels stabilized over her hospitalization. After discontinuation of lenalidomide, hypoglycemia did not recur, and within 1 year the patient required reinitiation of antihyperglycemic medications to control her glucose levels. Given the resolution of hypoglycemia with lenalidomide discontinuation and return of hyperglycemia after restarting the agent, it is likely that lenalidomide was the cause of the patient's hypoglycemia. Use of the Naranjo adverse drug reaction probability scale indicated a definite relationship (score of 9) between the patient's development of grade 3 hypoglycemia and lenalidomide therapy. Although this adverse drug reaction had been previously reported with lenalidomide during phase I trials in patients with solid tumors, only grade 1 or 2 hypoglycemia was reported in three patients. To our knowledge, this is the first reported case of grade 3 hypoglycemia caused by lenalidomide.
29384829	2019/8/29	Certolizumab Pegol	Oculomotor Nerve Diseases	Case Reports_and_Letter	1	0	0	0	0	Oculomotor Nerve Demyelination Secondary to Certolizumab Pegol.	
